actor_common.dies,dies.,死了。
spells.nothing_appears,Nothing appears.,什么也没有出现。
spells.nothing_more_to_shed,There is nothing more to shed.,已经没有更多可以舍弃的了。
spells.period,.,。
spells.pestilence.descr,A pack of rats appear around the caster.,一群鼠类出现在施法者周围。
spells.pestilence.hasted_rats,The rats are Hasted (moves faster).,这些老鼠获得加速（移动更快）。
spells.pestilence.name,Pestilence,瘟疫
spells.pestilence.summons_middle, rats. They exist for ,只老鼠。它们存在
spells.pestilence.summons_prefix,Summons ,召唤
spells.pestilence.summons_suffix, turns (their own turns).,回合（以它们自己的回合计）。
spells.pestilence.transcendent_rats,"Some of the rats are ethereal (much harder to hit, can move through solid objects), are immune to magic, can cast spells, and have extra hit points and damage.",其中一些老鼠是以太形态（更难命中，可以穿过实体物体），免疫魔法，可以施放法术，并拥有额外生命值和伤害。
spells.poison.close_paren,),）
spells.poison.name,Poison,中毒
spells.poison.prop_open_paren, (,（
spells.poison.victims_prefix,The spell's victims are ,法术的受害者会变成
spells.premonition.descr,"Grants foresight of attacks against the caster, making it extremely difficult for assailants to achieve a succesful hit.",赋予施法者对针对自身攻击的预知，使袭击者极难成功命中。
spells.premonition.name,Premonition,预感
spells.projected_strike.attack_prefix,"Each projection attacks a visible enemy, using the caster's combat skill with +",每个投影攻击一个可见敌人，使用施法者的战斗技能并获得 +
spells.projected_strike.attack_suffix,% hit chance bonus. No enemy can be targeted more than once.,% 命中率加成。没有敌人会被选为目标超过一次。
spells.projected_strike.attacker_descr,"The caster acts as attacker - all normal conditions that affect hit chance or damage apply (e.g. bonus damage from melee traits, or damage penalty from being weakened).",施法者被视为攻击者 - 所有影响命中率或伤害的常规条件都会生效（例如近战特质的额外伤害，或虚弱造成的伤害惩罚）。
spells.projected_strike.descr,Launches a psychic projection of the caster's carried melee weapons.,发射施法者携带的近战武器的灵能投影。
spells.projected_strike.max_weapons_middle,__SPACE__,__EMPTY__
spells.projected_strike.max_weapons_prefix,A maximum of ,最多可使用
spells.projected_strike.max_weapons_suffix, may be used for attacking.,进行攻击。
spells.projected_strike.name,Projected Strike,投影打击
spells.projected_strike.unlimited_weapons,An unlimited number of weapons can be used for atacking.,可以使用无限数量的武器进行攻击。
spells.projected_strike.weapon_plural,weapons,件武器
spells.projected_strike.weapon_singular,weapon,件武器
spells.projectile_hit_it,It,它
spells.projectile_hit_mon_suffix, is,__EMPTY__
spells.projectile_hit_player_prefix,I am,我
spells.projectile_hit_space,__SPACE__,__EMPTY__
spells.purge.destroy_adjacent_descr,"Destroys any altars, monoliths, gongs, or mirrors adjacent to the caster.",摧毁施法者相邻的任何祭坛、巨石、铜锣或镜子。
spells.purge.name,Purge,肃清
spells.purge.undead_struck_middle," damage, and become terrified for ",点伤害，并恐惧
spells.purge.undead_struck_prefix,All Undead creatures adjacent to the caster (seen or not) are struck with ,施法者相邻的所有亡灵生物（无论是否可见）都会被击中，受到
spells.purge.undead_struck_suffix, turns (unless they resist fear).,回合（除非它们抵抗恐惧）。
spells.rats_appear,Rats appear!,鼠群出现了！
spells.reflected,The spell is reflected!,法术被反射了！
spells.resist_player,I resist the spell!,我抵抗了法术！
spells.resists_suffix, resists the spell!,抵抗了法术！
spells.sacrifice_life.descr,Sacrifices the life force of the caster in order to restore the spirit. The amount restored is proportional to the life lost. A maximum of 8 hit points may be sacrificed.,牺牲施法者的生命力以恢复精神。恢复量与失去的生命成正比。最多可以牺牲8点生命值。
spells.sacrifice_life.name,Sacrifice Life,牺牲生命
spells.sacrifice_life.spirit_point_plural_suffix, spirit points are gained.,点精神。
spells.sacrifice_life.spirit_point_prefix,"For each hit point sacrificed, ",每牺牲1点生命值，就获得
spells.sacrifice_life.spirit_point_singular_suffix, spirit point is gained.,点精神。
spells.sanctuary.descr,The caster is ignored by all hostile creatures for the duration of the spell. The effect is interrupted if the caster moves or performs a melee or ranged attack.,在法术持续期间，所有敌对生物都会忽视施法者。如果施法者移动或进行近战或远程攻击，效果会被中断。
spells.sanctuary.name,Sanctuary,圣域
spells.scales_grow_over_eyes_prefix,Scales grow over the eyes of ,鳞片长满了
spells.scales_grow_over_my_eyes,Scales grow over my eyes!,鳞片长满了我的眼睛！
spells.see_invisible.descr,Grants the caster the ability to see the invisible.,赋予施法者看见隐形之物的能力。
spells.see_invisible.name,See Invisible,看见隐形
spells.sense_sigil_failed_to_bind,I sense that the sigil failed to bind here.,我感觉印记未能在此处绑定。
spells.sharp_droning,There is a sharp droning in my head!,我的脑中响起尖锐的嗡鸣！
spells.shed_impurity.bonus_middle," hit points are lost, then ",点生命值，则
spells.shed_impurity.bonus_prefix,If at least ,如果至少失去
spells.shed_impurity.cures_basic,weakening and poisoning are cured.,治愈虚弱和中毒。
spells.shed_impurity.cures_expert,"weakening, poisoning, infection and disease are cured.",治愈虚弱、中毒、感染和疾病。
spells.shed_impurity.cures_master,"weakening, poisoning, infection, disease and slowing are cured.",治愈虚弱、中毒、感染、疾病和迟缓。
spells.shed_impurity.cures_transcendent_prefix,"weakening, poisoning, infection, disease and slowing are cured. The caster is also blessed for ",治愈虚弱、中毒、感染、疾病和迟缓。施法者还会获得祝福，持续
spells.shed_impurity.cures_transcendent_suffix, turns.,回合。
spells.shed_impurity.current_removed_prefix, Currently ,当前会移除
spells.shed_impurity.current_removed_suffix, hit points would be removed.,点生命值。
spells.shed_impurity.descr,"Purifies the caster by carving away all that is extraneous, revealing the essential core of their being.",通过剜除一切多余之物净化施法者，显露其存在的本质核心。
spells.shed_impurity.moribund_prefix,Hit points are lowered to the limit where the Moribund effect is activated (bonuses for having low hit points). This limit is at ,生命值会降至触发濒死效果的阈值（低生命值加成）。该阈值为
spells.shed_impurity.moribund_suffix, hit points.,点生命值。
spells.shed_impurity.name,Shed Impurity,蜕除污秽
spells.skill.basic,basic,基础
spells.skill.expert,expert,专家
spells.skill.master,master,大师
spells.skill.transcendent,transcendent,超凡
spells.skill_bonus.altar,altar,祭坛
spells.skill_bonus.erudition,erudition,博学
spells.skill_bonus.manuscript,manuscript,手稿
spells.skill_bonus.necronomicon,necronomicon,死灵之书
spells.skill_descr_prefix,The spell can be cast at ,此法术可以以
spells.skill_descr_suffix, level,等级施放
spells.slow.descr,Causes the spell's victims to move more slowly.,使法术的受害者移动得更慢。
spells.slow.name,Slow,迟缓
spells.someone,Someone,某人
spells.something,Something,某物
spells.space,__SPACE__,__EMPTY__
spells.spell_shield.descr,Grants protection against harmful spells. The effect lasts until a spell is blocked.,赋予对有害法术的防护。效果会持续到有一个法术被阻挡为止。
spells.spell_shield.name,Spell Shield,法术护盾
spells.suddenly_flayed_alive_suffix, is suddenly flayed alive!,突然被活剥了！
spells.summon_tentacles.appear_msg,Monstrous tentacles rise up from the ground!,巨大的触手从地面升起！
spells.symbol_fails_to_bind,"A symbol flickers briefly, but fails to bind here.",一个符号短暂闪烁，但未能在此处绑定。
spells.target.all_visible_hostile,Affects all visible hostile creatures.,影响所有可见敌对生物。
spells.target.one_visible_hostile,Affects one random visible hostile creature.,影响一个随机可见敌对生物。
spells.teleport.descr_main,Instantly moves the caster to a different position.,立即将施法者移动到另一个位置。
spells.teleport.invis_prefix,"On teleporting, the caster is invisible for ",传送后，施法者会隐形
spells.teleport.invis_suffix, turns.,回合。
spells.teleport.max_dist_prefix,Maximum teleport distance is ,最大传送距离为
spells.teleport.max_dist_suffix,.,。
spells.teleport.name,Teleport,传送
spells.temporal_echo.descr_main,"For all visible enemies, time is manipulated so that damage taken during a brief period will recur when the effect ends.",对于所有可见敌人，时间会被操纵，使其在短暂期间内受到的伤害在效果结束时再次重现。
spells.temporal_echo.duration_middle, turns (their turns). ,回合（按它们自己的回合计）。期间受到的伤害中有
spells.temporal_echo.duration_prefix,The effect lasts for ,效果持续
spells.temporal_echo.duration_suffix,% of the damage taken during the effect is dealt again.,%会再次结算。
spells.temporal_echo.name,Temporal Echo,时间回响
spells.tenebrous_descr_prefix,Tenebrous - this spell will be instantly forgotten if cast from memory. ,晦暗 - 如果凭记忆施放，此法术会立刻被遗忘。
spells.terrify.creature_plural,creatures,生物
spells.terrify.creature_singular,creature,生物
spells.terrify.descr,Inflicts a nightmare illusion that overwhelms its victims with dread.,施加一场噩梦般的幻象，使受害者被恐惧淹没。
spells.terrify.descr_transcendent,Affected creatures also faint.,受影响的生物还会昏厥。
spells.terrify.faint_chance_middle,% chance to also make affected ,%几率让受影响的
spells.terrify.faint_chance_prefix,Has a ,有
spells.terrify.faint_chance_suffix, faint.,昏厥。
spells.terrify.name,Terrify,恐惧
spells.thorns.name,Thorns,荆棘
spells.thorns.return_damage_prefix,The spell returns ,该法术会向攻击者反弹
spells.thorns.return_damage_suffix, damage to the attacker.,点伤害。
spells.threat_projection.descr,"Distorts the perception of the spell's victims, causing all other creatures to be misidentified as enemies.",扭曲法术受害者的感知，使其把所有其他生物都误认为敌人。
spells.threat_projection.name,Threat Projection,威胁投射
spells.transmutation.appears_plural,appear,出现了
spells.transmutation.appears_singular,appears,出现了
spells.transmutation.chance_suffix,% chance.,%几率转化药水或手稿。
spells.transmutation.descr_main,"Attempts to convert items (stand over an item when casting). On failure, the item is destroyed.",尝试转化物品（施法时站在物品上）。失败时，该物品会被摧毁。
spells.transmutation.disappears_plural,disappear,消失了
spells.transmutation.disappears_singular,disappears,消失了
spells.transmutation.item_before_prefix,The ,__EMPTY__
spells.transmutation.manuscript_chance_prefix,Converts Manuscripts with ,以
spells.transmutation.name,Transmutation,变形术
spells.transmutation.potion_chance_prefix,Converts Potions with ,以
spells.transmutation.weapon_chance_plus_one,"% chance for a +1 weapon, ",%，+2武器的几率为
spells.transmutation.weapon_chance_plus_three,"% chance for a +3 weapon, etc.",%，依此类推。
spells.transmutation.weapon_chance_plus_two,"% chance for a +2 weapon, ",%，+3武器的几率为
spells.transmutation.weapon_chance_prefix,"Melee weapons with at least +1 damage (not counting any damage bonus from skills) are converted to a Potion or Manuscript, with ",至少有+1伤害的近战武器（不包括技能带来的伤害加成）会被转化为药水或手稿，+1武器的几率为
spells.unexpected_effect,An unexpected effect was induced by the spell.,法术引发了意想不到的效果。
spells.unravels_suffix, unravels.,解体了。
spells.vague_change_in_air,There is a vague change in the air.,空气中有一阵模糊的变化。
spells.weapon_visions,"Visions of hacking, crushing and stabbing fill my mind.",劈砍、碾碎与穿刺的景象充满了我的脑海。
teleport.different_location,I suddenly find myself in a different location!,我突然发现自己身处一个不同的位置！
teleport.intercepts_my_teleportation,intercepts my teleportation!,拦截了我的传送！
terrain.alchemist_workbench,alchemist's workbench,炼金术士的工作台
terrain.alchemist_workbench_burns_down,The alchemist's workbench burns down.,炼金术士的工作台烧毁了。
terrain.alchemist_workbench_destroyed,The alchemist's workbench is destroyed.,炼金术士的工作台被摧毁了。
terrain.alchemist_workbench_empty,The alchemist's workbench is empty.,炼金术士的工作台是空的。
terrain.alchemist_workbench_here,There is an alchemist's workbench here.,这里有一个炼金术士的工作台。
terrain.alchemist_workbench_on_fire,The alchemist's workbench is on fire.,炼金术士的工作台着火了。
terrain.already_open,It is already open.,它已经打开了。
terrain.altar,altar,祭坛
terrain.altar_destroyed,The altar is destroyed.,祭坛被摧毁了。
terrain.article_a_space,a ,__EMPTY__
terrain.article_an_space,an ,__EMPTY__
terrain.article_the_space,the ,__EMPTY__
terrain.attempt_push_lid,I attempt to push the lid.,我试着推开盖子。
terrain.bones,bones,骸骨
terrain.bones_article_a,__EMPTY__,__EMPTY__
terrain.bookshelf,bookshelf,书架
terrain.bookshelf_burns_down,The bookshelf burns down.,书架烧毁了。
terrain.bookshelf_destroyed,The bookshelf is destroyed.,书架被摧毁了。
terrain.bookshelf_empty,The bookshelf is empty.,书架是空的。
terrain.bookshelf_here,There is a bookshelf here.,这里有一个书架。
terrain.bookshelf_on_fire,The bookshelf is on fire.,书架着火了。
terrain.brazier,brazier,火盆
terrain.bridge,bridge,桥
terrain.bump_into_something,I bump into something.,我撞到了什么东西。
terrain.cabinet,cabinet,柜子
terrain.cabinet_burns_down,The cabinet burns down.,柜子烧毁了。
terrain.cabinet_destroyed,The cabinet is destroyed.,柜子被摧毁了。
terrain.cabinet_empty,The cabinet is empty.,柜子是空的。
terrain.cabinet_here,There is a cabinet here.,这里有一个柜子。
terrain.cabinet_on_fire,The cabinet is on fire.,柜子着火了。
terrain.cabinet_opens,The cabinet opens.,柜子打开了。
terrain.carpet,carpet,地毯
terrain.carpet_article_a,__EMPTY__,__EMPTY__
terrain.catches_fire_suffix, catches fire.,着火了。
terrain.chains_article_a,__EMPTY__,__EMPTY__
terrain.chains_article_the,the ,__EMPTY__
terrain.chains_name,rusty chains,生锈的锁链
terrain.chains_rattle,The chains rattle.,锁链嘎嘎作响。
terrain.chasm,chasm,深渊
terrain.chasm_edge,I realize I am standing on the edge of a chasm.,我意识到自己正站在深渊边缘。
terrain.chasm_in_way,A chasm lies in my way.,一道深渊挡住了我的路。
terrain.chest,chest,箱子
terrain.chest_empty,The chest is empty.,箱子是空的。
terrain.chest_empty_prefix,empty ,空的
terrain.chest_here,There is a chest here.,这里有一个箱子。
terrain.chest_iron_prefix,iron ,铁制
terrain.chest_locked,The chest is locked.,箱子锁上了。
terrain.chest_locked_prefix,locked ,锁住的
terrain.chest_on_fire,The chest is on fire.,箱子着火了。
terrain.chest_open_prefix,open ,打开的
terrain.chest_opens,The chest opens.,箱子打开了。
terrain.chest_wooden_prefix,wooden ,木制
terrain.church_bench,church bench,教堂长椅
terrain.church_bench_destroyed,The church bench is destroyed.,教堂长椅被摧毁了。
terrain.cocoon,cocoon,茧
terrain.cocoon_burns_down,The cocoon burns down.,茧烧毁了。
terrain.cocoon_destroyed,The cocoon is destroyed.,茧被摧毁了。
terrain.cocoon_empty,The cocoon is empty.,茧是空的。
terrain.cocoon_half_dissolved_body,There is a half-dissolved human body inside!,里面有一具半溶解的人体！
terrain.cocoon_here,There is a cocoon here.,这里有一个茧。
terrain.cocoon_on_fire,The cocoon is on fire.,茧着火了。
terrain.cocoon_opens,The cocoon opens.,茧打开了。
terrain.cocoon_spiders_inside,There are spiders inside!,里面有蜘蛛！
terrain.crystal_dead,dead,失活
terrain.crystal_gleaming,gleaming,闪光
terrain.crystal_suffix, crystal,水晶
terrain.debris_big_pile,big pile of debris,大堆碎石
terrain.descend_option,(D)escend,(D)下楼
terrain.descend_stairs,I descend the stairs.,我走下楼梯。
terrain.diabolic_altar_warning,"A diabolic altar has been raised here, it must be destroyed!",这里升起了一座邪恶祭坛，必须将它摧毁！
terrain.does_not_yield,It does not yield at all.,它完全没有松动。
terrain.downward_staircase,downward staircase,向下的楼梯
terrain.drink_from_fountain,I drink from the fountain...,我从喷泉中饮水……
terrain.drink_from_prefix,Drink from ,从
terrain.fake_stairs_body,"As I descend the stairs and observe my surroundings, to my great bewilderment I realize that I have stepped out into the very same ground from which I started my downward climb! Turning around, the stairs are nowhere to be found.",当我走下楼梯并观察周围时，我惊讶地发现自己竟然踏回了开始下行的同一片地面！转身一看，楼梯已经无处可寻。
terrain.falls_on_me,It falls on me!,它砸到了我！
terrain.falls_on_prefix,It falls on ,它砸到了
terrain.feel_more_powerful,I feel more powerful!,我感觉更强大了！
terrain.fire_spread_here,Fire has spread here!,火势蔓延到了这里！
terrain.fixture_burning_prefix,burning ,燃烧的
terrain.floor_article_a,__EMPTY__,__EMPTY__
terrain.floor_cavern_floor,cavern floor,洞穴地面
terrain.floor_flames,flames,火焰
terrain.floor_scorched_prefix,scorched ,焦黑的
terrain.floor_stone_floor,stone floor,石地板
terrain.floor_stone_path,stone path,石径
terrain.fountain,fountain,喷泉
terrain.fountain_blinding,blinding,致盲的
terrain.fountain_cursed,cursed,受诅咒的
terrain.fountain_destroyed,The fountain is destroyed.,喷泉被摧毁了。
terrain.fountain_diseased,diseased,染病的
terrain.fountain_dried_up,The fountain is dried-up.,喷泉已经干涸。
terrain.fountain_dried_up_name,dried-up,干涸的
terrain.fountain_dries_up,The fountain dries up.,喷泉干涸了。
terrain.fountain_enraging,enraging,激怒的
terrain.fountain_exalting,exalting,振奋的
terrain.fountain_here_dried_up,"There is a fountain here, but it's dried-up.",这里有一座喷泉，但它已经干涸了。
terrain.fountain_paralyzing,paralyzing,麻痹的
terrain.fountain_poisonous,poisonous,有毒的
terrain.fountain_refreshing,refreshing,清爽的
terrain.fountain_sleep_inducing,sleep-inducing,催眠的
terrain.fountain_type_separator,__SPACE__,__EMPTY__
terrain.gas_burst,I hear a burst of gas.,我听到一阵气体喷出声。
terrain.gleaming_pool,gleaming pool,闪光水池
terrain.grass,grass,草
terrain.grass_burning,burning grass,燃烧的草
terrain.grass_scorched_ground,scorched ground,焦黑地面
terrain.grass_withered,withered grass,枯草
terrain.grate,grate,栅格
terrain.gravestone_prefix,"gravestone (""","墓碑（"""
terrain.gravestone_suffix,""")","""）"
terrain.hear_chains_rattling,I hear chains rattling.,我听到锁链嘎嘎作响。
terrain.hear_crash,I hear a crash.,我听到一声撞击。
terrain.hear_splash,I hear a splash.,我听到水花声。
terrain.heavy_stone_sliding,I hear heavy stone sliding.,我听到沉重的石头滑动声。
terrain.here_drink_from_it_suffix, here. Drink from it?,。要从中饮水吗？
terrain.it_is_empty,It is empty.,它是空的。
terrain.legend_altar,Altar,祭坛
terrain.legend_brazier,Brazier,火盆
terrain.legend_fountain,Fountain,喷泉
terrain.legend_gleaming_crystal,Gleaming Crystal,闪光水晶
terrain.legend_inscribed_object,Inscribed Object,铭文物体
terrain.legend_stairs,Stairs,楼梯
terrain.legend_tomb,Tomb,坟墓
terrain.lid_comes_off,The lid comes off.,盖子脱落了。
terrain.lid_slams_open_falls_shut,"The lid slams open, then falls shut.",盖子猛地打开，然后又落下关上。
terrain.light_inside_fades,The light inside fades.,里面的光芒消退了。
terrain.lock_breaks_lid_flies_open,The lock breaks and the lid flies open!,锁断开，盖子飞开了！
terrain.lock_resists,The lock resists.,锁抵住了。
terrain.moves_little,It moves a little!,它移动了一点！
terrain.muffled_shatter,I hear a muffled shatter.,我听到一声闷闷的碎裂声。
terrain.no_more_items_of_interest,There are no more items of interest.,没有更多值得关注的物品。
terrain.nothing_happens,Nothing happens.,什么也没发生。
terrain.nothing_of_interest,There is nothing of interest.,没有值得关注的东西。
terrain.nothing_of_value_inside,There is nothing of value inside.,里面没有值钱的东西。
terrain.path_opened,I sense that a path has opened somewhere.,我感到某处有一条道路打开了。
terrain.peer_inside_tomb,I peer inside the tomb.,我向坟墓里窥视。
terrain.period,.,。
terrain.petroglyph,petroglyph,岩刻
terrain.pick_up_query_prefix,Pick up ,捡起
terrain.pillar,pillar,石柱
terrain.pillar_broken,broken pillar,断裂石柱
terrain.pillar_inscribed,inscribed pillar,刻文石柱
terrain.query_suffix,?,？
terrain.resists,It resists.,它抵住了。
terrain.rubble,rubble,瓦砾
terrain.rubble_article_a,__EMPTY__,__EMPTY__
terrain.rubble_burning_prefix,burning ,燃烧的
terrain.save_and_quit_option,(S)ave and quit,(S)保存并退出
terrain.scorched_by_flames_player,I am scorched by flames.,我被火焰灼伤了。
terrain.scorched_by_flames_suffix, is scorched by flames.,被火焰灼伤了。
terrain.search_alchemist_workbench,I search the alchemist's workbench.,我搜索炼金术士的工作台。
terrain.search_bookshelf,I search the bookshelf.,我搜索书架。
terrain.search_cabinet,I search the cabinet.,我搜索柜子。
terrain.search_chest,I search the chest.,我搜索箱子。
terrain.search_cocoon,I search the Cocoon.,我搜索茧。
terrain.seems_cleansed_prefix,The ,__EMPTY__
terrain.seems_cleansed_suffix, seems cleansed!,看起来被净化了！
terrain.seems_clearer_suffix, seems clearer.,中的水似乎更清澈了。
terrain.seems_futile,It seems futile.,这似乎徒劳无功。
terrain.seems_murkier_suffix, seems murkier.,中的水似乎更浑浊了。
terrain.shallow_mud,shallow mud,浅泥
terrain.shrub,shrub,灌木
terrain.shrub_burning,burning shrub,燃烧的灌木
terrain.shrub_withered,withered shrub,枯萎灌木
terrain.something_inside,There is something inside.,里面有东西。
terrain.stairs_down_title,A staircase leading downwards,向下的楼梯
terrain.stalagmite,stalagmite,石笋
terrain.statue,statue,雕像
terrain.statue_of_ghoulish_creature,statue of a ghoulish creature,食尸鬼状生物的雕像
terrain.step_into_flames_query,Step into the flames? ,要踏入火焰吗？
terrain.stone_box_here,There is a stone box here.,这里有一个石盒。
terrain.there_is_prefix,There is ,这里有
terrain.tomb,tomb,坟墓
terrain.tomb_air_colder,The air suddenly feels colder.,空气突然变冷了。
terrain.tomb_destroyed,The tomb is destroyed.,坟墓被摧毁了。
terrain.tomb_empty,The tomb is empty.,坟墓是空的。
terrain.tomb_empty_prefix,empty ,空的
terrain.tomb_fumes_burst,Fumes burst out from the tomb!,烟气从坟墓中喷涌而出！
terrain.tomb_marvelous_prefix,marvelous ,非凡的
terrain.tomb_open_prefix,open ,打开的
terrain.tomb_ornate_prefix,ornate ,华丽的
terrain.tomb_repulsive_creeps_up,Something repulsive creeps up from the tomb!,有什么令人作呕的东西从坟墓里爬了出来！
terrain.tomb_something_rises,Something rises from the tomb!,有什么东西从坟墓中升起！
terrain.topples_over,It topples over.,它倒下了。
terrain.topples_prefix,The ,__EMPTY__
terrain.topples_suffix, topples over.,倒下了。
terrain.touch_crystal_object,I touch some crystal object.,我触摸了某个水晶物体。
terrain.touch_prefix,I touch ,我触摸了
terrain.tree,tree,树
terrain.tree_giant_fungi,giant fungi,巨型真菌
terrain.trudge_through_mud,I trudge slowly through the knee high mud.,我缓慢跋涉过齐膝深的泥泞。
terrain.unload_prompt,Unload? [u],卸下？[u]
terrain.urn,urn,瓮
terrain.urn_inscribed,inscribed urn,刻文瓮
terrain.vegetation_article_a,__EMPTY__,__EMPTY__
terrain.vegetation_burning_prefix,burning ,燃烧的
terrain.vegetation_scorched_prefix,scorched ,焦黑的
terrain.very_refreshing,It's very refreshing.,非常清爽。
terrain.vines_burning,burning vines,燃烧的藤蔓
terrain.vines_hanging,hanging vines,垂藤
terrain.wade_through_water,I wade slowly through the knee high water.,我缓慢涉过齐膝深的水。
terrain.wall_alien,alien wall,异星墙壁
terrain.wall_cavern,cavern wall,洞穴墙壁
terrain.wall_cliff,cliff,悬崖
terrain.wall_moss_grown_prefix,moss-grown ,长苔的
terrain.wall_stone,stone wall,石墙
terrain.water,water,水
terrain.water_in_prefix,The water in ,喷泉
terrain.way_blocked,The way is blocked.,去路被挡住了。
terrain.wiggles,It wiggles a bit.,它摇晃了一下。
terrain_door.a,a ,一扇
terrain_door.attempt_to_open_it,Attempt to open it?,要尝试打开它吗？
terrain_door.blocked_prefix,The ,那扇
terrain_door.blocked_suffix, is blocked.,被挡住了。
terrain_door.break_open,open,打开
terrain_door.break_to_floor,to the floor,到地上
terrain_door.close_prefix,I close the ,我关上了
terrain_door.closes_suffix, closes.,关上了。
terrain_door.currently_being_opened_cannot_close,"The door is currently being opened, and cannot be closed.",门正在被打开，无法关闭。
terrain_door.door_burns_down,The door burns down.,门烧毁了。
terrain_door.door_crashes_a,A ,一扇
terrain_door.door_crashes_b, crashes ,猛烈撞上
terrain_door.exclaim,!,！
terrain_door.fail_close_suffix,", and fail to close it.",，但没能关上。
terrain_door.fail_open_suffix,", and fail to open it.",，但没能打开。
terrain_door.find_nothing_to_close,I find nothing there to close.,我没找到任何可关闭的东西。
terrain_door.foreboding_feeling,Something gives me a foreboding feeling.,有什么东西给了我一种不祥的感觉。
terrain_door.fumble_blindly_close_prefix,I fumble blindly with a ,我盲目地摸索着一扇
terrain_door.fumble_blindly_open_prefix,I fumble blindly with a ,我盲目地摸索着一扇
terrain_door.fumble_with_a,I fumble with a ,我摸索着一扇
terrain_door.fumbles_blindly_fail_open_a," fumbles blindly, and fails to open a ",盲目地摸索着，但没能打开一扇
terrain_door.fumbles_manages_open_a,"fumbles, but manages to open a ",摸索着，但设法打开了一扇
terrain_door.futile,It seems futile.,这样做似乎毫无用处。
terrain_door.hear_attempt_open_door,I hear something attempting to open a door.,我听到有什么东西试图打开一扇门。
terrain_door.hear_door_crashing_open,I hear a door crashing open!,我听到一扇门被撞开！
terrain_door.hear_door_open,I hear a door open.,我听到一扇门打开。
terrain_door.hear_door_open_awkwardly,I hear something open a door awkwardly.,我听到有什么东西笨拙地打开一扇门。
terrain_door.hear_loud_banging,I hear a loud banging.,我听到响亮的撞击声。
terrain_door.here, here.,在这里。
terrain_door.jam_prefix,I jam ,我用尖刺卡住了
terrain_door.legend,Door,门
terrain_door.legend_metal,Door (metal),门（金属）
terrain_door.legend_warded,Door (warded),门（受守护）
terrain_door.manage_close_suffix,", but manage to close it.",，但设法关上了。
terrain_door.manage_open_suffix,", but manage to open it.",，但设法打开了。
terrain_door.name_article_a,a ,一扇
terrain_door.name_article_an,an ,一扇
terrain_door.name_article_the,the ,那扇
terrain_door.name_barred_gate,barred gate,铁栅门
terrain_door.name_metal_door,metal door,金属门
terrain_door.name_modifier_burning,burning ,燃烧的
terrain_door.name_modifier_open,open ,打开的
terrain_door.name_modifier_stuck,stuck ,卡住的
terrain_door.name_short_door,door,门
terrain_door.name_unwarded_door,unwarded door,失去守护的门
terrain_door.name_warded_door,warded door,受守护的门
terrain_door.name_wooden_door,wooden door,木门
terrain_door.open_awkwardly_suffix, open awkwardly.,笨拙地打开。
terrain_door.open_prefix,I open the ,我打开了
terrain_door.open_query_prefix,Open ,打开
terrain_door.opening_suffix, opening.,正在打开。
terrain_door.opens_a, opens a ,打开了一扇
terrain_door.opens_suffix, opens.,打开了。
terrain_door.period,.,。
terrain_door.query_suffix,?,？
terrain_door.secret_revealed,A secret is revealed.,一个秘密被揭示了。
terrain_door.see_a,I see a ,我看见一扇
terrain_door.see_nothing_to_close,I see nothing there to close.,我没看到那里有什么可关闭的东西。
terrain_door.seems_stuck_suffix, seems to be stuck.,似乎被卡住了。
terrain_door.shotgun_blown_to_pieces_suffix, is blown to pieces!,被轰成碎片！
terrain_door.something_approaches,Something approaches...,有什么东西接近了...
terrain_door.something_blocking_prefix,Something is blocking the ,有东西挡住了
terrain_door.the,The ,那扇
terrain_door.the_lowercase,the ,那扇
terrain_door.there_is,There is ,这里有
terrain_door.with_a_spike, with a spike.,。
terrain_event.rats_discovery_msg,"Before me lies a twilit grotto of enormous height. An insane tangle of human bones extends for yards like a foamy sea - invariably in postures of demoniac frenzy, either fighting off some menace or clutching other forms with cannibal intent.",我面前是一座暮色笼罩、高耸无比的洞窟。一团疯狂纠缠的人骨绵延数码，如泡沫般铺开——姿态无不呈现出恶魔般的狂乱，有的像是在抵御某种威胁，有的则以食人的意图紧抓着其他形体。
terrain_event.rats_discovery_title,A gruesome discovery...,可怖的发现……
terrain_event.snakes_emerge,"Suddenly, vicious snakes slither up from cracks in the floor!",突然，凶恶的蛇从地板裂缝中钻了出来！
terrain_event.wall_collapse_heard,I hear walls collapsing!,我听见墙壁崩塌的声音！
terrain_event.wall_collapse_visible,"Suddenly, the walls collapse!",突然，墙壁崩塌了！
terrain_gong.article_a,a ,__EMPTY__
terrain_gong.article_the,the ,__EMPTY__
terrain_gong.crash_resonates,The crash resonates through the air!,撞击声在空气中回荡！
terrain_gong.gong_destroyed,The gong is destroyed.,铜锣被摧毁了。
terrain_gong.less_experienced,I feel less experienced.,我感觉经验变少了。
terrain_gong.more_experienced,I feel more experienced.,我感觉更有经验了。
terrain_gong.more_sane,I feel more sane.,我感觉更清醒了。
terrain_gong.must_be_destroyed,This unholy instrument must be destroyed!,这件不洁的器物必须被摧毁！
terrain_gong.nothing_happens,Nothing happens.,什么也没有发生。
terrain_gong.period,.,。
terrain_gong.received_prefix,I have received ,我获得了
terrain_gong.seems_cleansed, seems cleansed!,似乎被净化了！
terrain_gong.something_approaches,Something approaches...,有什么东西接近了...
terrain_gong.strike_gong,I strike the temple gong!,我敲响了神殿铜锣！
